id,title,mean,rank,popularity,num_list_users,num_scoring_users,status,start_date,end_date,num_episodes,genres,studios,ranking_type,ranking_date,start_year,score_bucket,genre,missing_mean,missing_rank,missing_start_date,missing_end_date,missing_studios
52991,Sousou no Frieren,9.3,1.0,152,1090110,638750,finished_airing,2023-09-29,2024-03-22,28,"adventure, drama, fantasy, shounen",madhouse,all,2025-04-16,2023.0,9+,adventure,False,False,False,False,False
52991,Sousou no Frieren,9.3,1.0,152,1090110,638750,finished_airing,2023-09-29,2024-03-22,28,"adventure, drama, fantasy, shounen",madhouse,all,2025-04-16,2023.0,9+,drama,False,False,False,False,False
52991,Sousou no Frieren,9.3,1.0,152,1090110,638750,finished_airing,2023-09-29,2024-03-22,28,"adventure, drama, fantasy, shounen",madhouse,all,2025-04-16,2023.0,9+,fantasy,False,False,False,False,False
52991,Sousou no Frieren,9.3,1.0,152,1090110,638750,finished_airing,2023-09-29,2024-03-22,28,"adventure, drama, fantasy, shounen",madhouse,all,2025-04-16,2023.0,9+,shounen,False,False,False,False,False
5114,Fullmetal Alchemist: Brotherhood,9.1,2.0,3,3508232,2209390,finished_airing,2009-04-05,2010-07-04,64,"action, adventure, drama, fantasy, military, shounen",bones,all,2025-04-16,2009.0,9+,action,False,False,False,False,False
5114,Fullmetal Alchemist: Brotherhood,9.1,2.0,3,3508232,2209390,finished_airing,2009-04-05,2010-07-04,64,"action, adventure, drama, fantasy, military, shounen",bones,all,2025-04-16,2009.0,9+,adventure,False,False,False,False,False
5114,Fullmetal Alchemist: Brotherhood,9.1,2.0,3,3508232,2209390,finished_airing,2009-04-05,2010-07-04,64,"action, adventure, drama, fantasy, military, shounen",bones,all,2025-04-16,2009.0,9+,drama,False,False,False,False,False
5114,Fullmetal Alchemist: Brotherhood,9.1,2.0,3,3508232,2209390,finished_airing,2009-04-05,2010-07-04,64,"action, adventure, drama, fantasy, military, shounen",bones,all,2025-04-16,2009.0,9+,fantasy,False,False,False,False,False
5114,Fullmetal Alchemist: Brotherhood,9.1,2.0,3,3508232,2209390,finished_airing,2009-04-05,2010-07-04,64,"action, adventure, drama, fantasy, military, shounen",bones,all,2025-04-16,2009.0,9+,military,False,False,False,False,False
5114,Fullmetal Alchemist: Brotherhood,9.1,2.0,3,3508232,2209390,finished_airing,2009-04-05,2010-07-04,64,"action, adventure, drama, fantasy, military, shounen",bones,all,2025-04-16,2009.0,9+,shounen,False,False,False,False,False
9253,Steins;Gate,9.07,3.0,14,2687350,1458482,finished_airing,2011-04-06,2011-09-14,24,"drama, psychological, sci-fi, suspense, time travel",white fox,all,2025-04-16,2011.0,9+,drama,False,False,False,False,False
9253,Steins;Gate,9.07,3.0,14,2687350,1458482,finished_airing,2011-04-06,2011-09-14,24,"drama, psychological, sci-fi, suspense, time travel",white fox,all,2025-04-16,2011.0,9+,psychological,False,False,False,False,False
9253,Steins;Gate,9.07,3.0,14,2687350,1458482,finished_airing,2011-04-06,2011-09-14,24,"drama, psychological, sci-fi, suspense, time travel",white fox,all,2025-04-16,2011.0,9+,sci-fi,False,False,False,False,False
9253,Steins;Gate,9.07,3.0,14,2687350,1458482,finished_airing,2011-04-06,2011-09-14,24,"drama, psychological, sci-fi, suspense, time travel",white fox,all,2025-04-16,2011.0,9+,suspense,False,False,False,False,False
9253,Steins;Gate,9.07,3.0,14,2687350,1458482,finished_airing,2011-04-06,2011-09-14,24,"drama, psychological, sci-fi, suspense, time travel",white fox,all,2025-04-16,2011.0,9+,time travel,False,False,False,False,False
38524,Shingeki no Kyojin Season 3 Part 2,9.05,4.0,21,2431852,1685447,finished_airing,2019-04-29,2019-07-01,10,"action, drama, gore, military, shounen, survival, suspense",wit studio,all,2025-04-16,2019.0,9+,action,False,False,False,False,False
38524,Shingeki no Kyojin Season 3 Part 2,9.05,4.0,21,2431852,1685447,finished_airing,2019-04-29,2019-07-01,10,"action, drama, gore, military, shounen, survival, suspense",wit studio,all,2025-04-16,2019.0,9+,drama,False,False,False,False,False
38524,Shingeki no Kyojin Season 3 Part 2,9.05,4.0,21,2431852,1685447,finished_airing,2019-04-29,2019-07-01,10,"action, drama, gore, military, shounen, survival, suspense",wit studio,all,2025-04-16,2019.0,9+,gore,False,False,False,False,False
38524,Shingeki no Kyojin Season 3 Part 2,9.05,4.0,21,2431852,1685447,finished_airing,2019-04-29,2019-07-01,10,"action, drama, gore, military, shounen, survival, suspense",wit studio,all,2025-04-16,2019.0,9+,military,False,False,False,False,False
38524,Shingeki no Kyojin Season 3 Part 2,9.05,4.0,21,2431852,1685447,finished_airing,2019-04-29,2019-07-01,10,"action, drama, gore, military, shounen, survival, suspense",wit studio,all,2025-04-16,2019.0,9+,shounen,False,False,False,False,False
38524,Shingeki no Kyojin Season 3 Part 2,9.05,4.0,21,2431852,1685447,finished_airing,2019-04-29,2019-07-01,10,"action, drama, gore, military, shounen, survival, suspense",wit studio,all,2025-04-16,2019.0,9+,survival,False,False,False,False,False
38524,Shingeki no Kyojin Season 3 Part 2,9.05,4.0,21,2431852,1685447,finished_airing,2019-04-29,2019-07-01,10,"action, drama, gore, military, shounen, survival, suspense",wit studio,all,2025-04-16,2019.0,9+,suspense,False,False,False,False,False
60022,One Piece Fan Letter,9.05,5.0,2174,104341,77005,finished_airing,2024-10-20,2024-10-20,1,"action, adventure, fantasy, shounen",toei animation,all,2025-04-16,2024.0,9+,action,False,False,False,False,False
60022,One Piece Fan Letter,9.05,5.0,2174,104341,77005,finished_airing,2024-10-20,2024-10-20,1,"action, adventure, fantasy, shounen",toei animation,all,2025-04-16,2024.0,9+,adventure,False,False,False,False,False
60022,One Piece Fan Letter,9.05,5.0,2174,104341,77005,finished_airing,2024-10-20,2024-10-20,1,"action, adventure, fantasy, shounen",toei animation,all,2025-04-16,2024.0,9+,fantasy,False,False,False,False,False
